2017-11-21 15:48:41.725668: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 15:48:41.725689: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 15:48:41.725694: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 15:48:41.725697: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 15:48:41.725700: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45494.0703 | Layer 1 | Epoch 1  |
|            30 |    45418.5938 | Layer 1 | Epoch 1  |
|            60 |    45410.1523 | Layer 1 | Epoch 1  |
|            90 |    45405.0430 | Layer 1 | Epoch 2  |
|           120 |    45388.5195 | Layer 1 | Epoch 2  |
|           150 |    45392.3945 | Layer 1 | Epoch 3  |
|           180 |    45386.3555 | Layer 1 | Epoch 3  |
|           210 |    45359.1875 | Layer 1 | Epoch 4  |
|           240 |    45354.5742 | Layer 1 | Epoch 4  |
|           270 |    45336.3359 | Layer 1 | Epoch 5  |
|           300 |    45330.8867 | Layer 1 | Epoch 5  |
|           330 |    45362.2695 | Layer 1 | Epoch 6  |
|           360 |    45248.7070 | Layer 1 | Epoch 6  |
|           390 |    45277.3242 | Layer 1 | Epoch 7  |
|           420 |    45287.8984 | Layer 1 | Epoch 7  |
|           450 |    45136.3438 | Layer 1 | Epoch 8  |
|           480 |    45237.0859 | Layer 1 | Epoch 8  |
|           510 |    45239.5508 | Layer 1 | Epoch 9  |
|           540 |    45196.8984 | Layer 1 | Epoch 9  |
|           570 |    45244.2500 | Layer 1 | Epoch 10  |
|           600 |    45174.4570 | Layer 1 | Epoch 10  |
|           630 |    45120.3633 | Layer 1 | Epoch 11  |
|           660 |    45003.3242 | Layer 1 | Epoch 11  |
|           690 |    45105.5938 | Layer 1 | Epoch 12  |
