2017-11-20 13:58:01.278413: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 13:58:01.278455: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 13:58:01.278461: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 13:58:01.278466: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 13:58:01.278470: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45807.8789 | Layer 1 | Epoch 1  |
|            30 |    45386.2227 | Layer 1 | Epoch 1  |
|            60 |    45376.5859 | Layer 1 | Epoch 1  |
|            90 |    45391.1797 | Layer 1 | Epoch 2  |
|           120 |    45351.5078 | Layer 1 | Epoch 2  |
|           150 |    45296.8086 | Layer 1 | Epoch 3  |
|           180 |    45317.5273 | Layer 1 | Epoch 3  |
|           210 |    45331.4844 | Layer 1 | Epoch 4  |
|           240 |    45272.3945 | Layer 1 | Epoch 4  |
|           270 |    45251.4062 | Layer 1 | Epoch 5  |
|           300 |    45174.2266 | Layer 1 | Epoch 5  |
|           330 |    45162.2891 | Layer 1 | Epoch 6  |
|           360 |    44958.5820 | Layer 1 | Epoch 6  |
|           390 |    44879.4180 | Layer 1 | Epoch 7  |
|           420 |    44800.3867 | Layer 1 | Epoch 7  |
|           450 |    44876.2891 | Layer 1 | Epoch 8  |
|           480 |    44875.5078 | Layer 1 | Epoch 8  |
|           510 |    44478.7891 | Layer 1 | Epoch 9  |
|           540 |    44576.4805 | Layer 1 | Epoch 9  |
|           570 |    44642.4648 | Layer 1 | Epoch 10  |
|           600 |    44711.3828 | Layer 1 | Epoch 10  |
|           630 |    44327.1719 | Layer 1 | Epoch 11  |
|           660 |    44276.5781 | Layer 1 | Epoch 11  |
|           690 |    44186.3086 | Layer 1 | Epoch 12  |
|           720 |    44139.1484 | Layer 1 | Epoch 12  |
|           750 |    44067.9375 | Layer 1 | Epoch 13  |
|           780 |    43873.5391 | Layer 1 | Epoch 13  |
|           810 |    44297.7305 | Layer 1 | Epoch 14  |
|           840 |    44254.7617 | Layer 1 | Epoch 14  |
