2017-11-20 22:50:54.386603: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 22:50:54.386623: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 22:50:54.386628: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 22:50:54.386631: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 22:50:54.386634: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45612.4141 | Layer 1 | Epoch 1  |
|            30 |    45403.5820 | Layer 1 | Epoch 1  |
|            60 |    45397.8867 | Layer 1 | Epoch 1  |
|            90 |    45379.6406 | Layer 1 | Epoch 2  |
|           120 |    45360.2578 | Layer 1 | Epoch 2  |
|           150 |    45384.1016 | Layer 1 | Epoch 3  |
|           180 |    45361.9141 | Layer 1 | Epoch 3  |
|           210 |    45344.9453 | Layer 1 | Epoch 4  |
|           240 |    45291.3672 | Layer 1 | Epoch 4  |
|           270 |    45305.5156 | Layer 1 | Epoch 5  |
|           300 |    45252.0312 | Layer 1 | Epoch 5  |
|           330 |    45245.2930 | Layer 1 | Epoch 6  |
|           360 |    45089.0547 | Layer 1 | Epoch 6  |
|           390 |    45226.3320 | Layer 1 | Epoch 7  |
|           420 |    45035.0000 | Layer 1 | Epoch 7  |
|           450 |    45239.7695 | Layer 1 | Epoch 8  |
|           480 |    45044.7812 | Layer 1 | Epoch 8  |
|           510 |    45152.8359 | Layer 1 | Epoch 9  |
|           540 |    44973.8828 | Layer 1 | Epoch 9  |
|           570 |    44960.6992 | Layer 1 | Epoch 10  |
|           600 |    45183.1992 | Layer 1 | Epoch 10  |
|           630 |    45021.9102 | Layer 1 | Epoch 11  |
|           660 |    44621.4883 | Layer 1 | Epoch 11  |
|           690 |    44617.0820 | Layer 1 | Epoch 12  |
|           720 |    44293.1797 | Layer 1 | Epoch 12  |
|           750 |    44647.9023 | Layer 1 | Epoch 13  |
|           780 |    44657.4102 | Layer 1 | Epoch 13  |
|           810 |    44866.1914 | Layer 1 | Epoch 14  |
|           840 |    44300.4219 | Layer 1 | Epoch 14  |
|           870 |    44522.4688 | Layer 1 | Epoch 15  |
|           900 |    44315.2227 | Layer 1 | Epoch 15  |
|           930 |    44282.9023 | Layer 1 | Epoch 16  |
|           960 |    44296.5391 | Layer 1 | Epoch 16  |
|           990 |    44503.9688 | Layer 1 | Epoch 17  |
|          1020 |    43882.7344 | Layer 1 | Epoch 17  |
|          1050 |    44643.1133 | Layer 1 | Epoch 18  |
|          1080 |    44411.1797 | Layer 1 | Epoch 18  |
|          1110 |    44018.2109 | Layer 1 | Epoch 19  |
|          1140 |    44407.1484 | Layer 1 | Epoch 19  |
|          1170 |    44359.0703 | Layer 1 | Epoch 20  |
|          1200 |    44035.3828 | Layer 1 | Epoch 20  |
|          1230 |    44045.8516 | Layer 1 | Epoch 21  |
|          1260 |    44032.5742 | Layer 1 | Epoch 21  |
|          1290 |    43868.2500 | Layer 1 | Epoch 22  |
|          1320 |    43892.4141 | Layer 1 | Epoch 22  |
|          1350 |    44113.8398 | Layer 1 | Epoch 23  |
|          1380 |    43822.5703 | Layer 1 | Epoch 23  |
|          1410 |    43724.1836 | Layer 1 | Epoch 24  |
|          1440 |    42976.8750 | Layer 1 | Epoch 24  |
|          1470 |    44316.3594 | Layer 1 | Epoch 25  |
|          1500 |    43892.9414 | Layer 1 | Epoch 25  |
|          1530 |    43706.6484 | Layer 1 | Epoch 26  |
|          1560 |    43127.5820 | Layer 1 | Epoch 26  |
|          1590 |    43785.6250 | Layer 1 | Epoch 27  |
|          1620 |    43745.5898 | Layer 1 | Epoch 27  |
|          1650 |    43929.9883 | Layer 1 | Epoch 28  |
|          1680 |    43617.0234 | Layer 1 | Epoch 28  |
|          1710 |    43510.8984 | Layer 1 | Epoch 29  |
|          1740 |    44209.3945 | Layer 1 | Epoch 29  |
|          1770 |    43776.5312 | Layer 1 | Epoch 30  |
|          1800 |    43146.7109 | Layer 1 | Epoch 30  |
|          1830 |    43418.8984 | Layer 1 | Epoch 31  |
|          1860 |    42806.7539 | Layer 1 | Epoch 31  |
|          1890 |    43375.1562 | Layer 1 | Epoch 31  |
|          1920 |    43105.1172 | Layer 1 | Epoch 32  |
|          1950 |    43879.6719 | Layer 1 | Epoch 32  |
|          1980 |    44121.2070 | Layer 1 | Epoch 33  |
|          2010 |    42551.9492 | Layer 1 | Epoch 33  |
|          2040 |    43810.6562 | Layer 1 | Epoch 34  |
|          2070 |    42707.4453 | Layer 1 | Epoch 34  |
|          2100 |    42704.6484 | Layer 1 | Epoch 35  |
|          2130 |    43832.7734 | Layer 1 | Epoch 35  |
|          2160 |    43631.9805 | Layer 1 | Epoch 36  |
|          2190 |    43484.1328 | Layer 1 | Epoch 36  |
|          2220 |    43672.5977 | Layer 1 | Epoch 37  |
|          2250 |    42604.4414 | Layer 1 | Epoch 37  |
|          2280 |    43083.7500 | Layer 1 | Epoch 38  |
|          2310 |    43001.9062 | Layer 1 | Epoch 38  |
|          2340 |    42650.5547 | Layer 1 | Epoch 39  |
|          2370 |    43634.6328 | Layer 1 | Epoch 39  |
|          2400 |    43092.6680 | Layer 1 | Epoch 40  |
|          2430 |    43672.6484 | Layer 1 | Epoch 40  |
|          2460 |    42393.3984 | Layer 1 | Epoch 41  |
|          2490 |    43471.6953 | Layer 1 | Epoch 41  |
|          2520 |    43097.8945 | Layer 1 | Epoch 42  |
|          2550 |    42815.9258 | Layer 1 | Epoch 42  |
|          2580 |    42685.5508 | Layer 1 | Epoch 43  |
|          2610 |    43114.5625 | Layer 1 | Epoch 43  |
|          2640 |    43397.5391 | Layer 1 | Epoch 44  |
|          2670 |    42950.1875 | Layer 1 | Epoch 44  |
|          2700 |    42565.9453 | Layer 1 | Epoch 45  |
|          2730 |    42922.6328 | Layer 1 | Epoch 45  |
|          2760 |    41887.4883 | Layer 1 | Epoch 46  |
|          2790 |    42732.2578 | Layer 1 | Epoch 46  |
|          2820 |    41899.9844 | Layer 1 | Epoch 47  |
|          2850 |    42771.2188 | Layer 1 | Epoch 47  |
|          2880 |    42681.4766 | Layer 1 | Epoch 48  |
|          2910 |    42946.5234 | Layer 1 | Epoch 48  |
|          2940 |    43130.5938 | Layer 1 | Epoch 49  |
|          2970 |    42444.4180 | Layer 1 | Epoch 49  |
|          3000 |    42992.4609 | Layer 1 | Epoch 50  |
|          3030 |    42567.2773 | Layer 1 | Epoch 50  |
|          3060 |    43469.3164 | Layer 1 | Epoch 51  |
|          3090 |    42952.9258 | Layer 1 | Epoch 51  |
|          3120 |    42064.6484 | Layer 1 | Epoch 52  |
|          3150 |    41842.9023 | Layer 1 | Epoch 52  |
|          3180 |    43907.7461 | Layer 1 | Epoch 53  |
|          3210 |    41589.2734 | Layer 1 | Epoch 53  |
|          3240 |    41973.6875 | Layer 1 | Epoch 54  |
|          3270 |    42452.0703 | Layer 1 | Epoch 54  |
|          3300 |    42363.8125 | Layer 1 | Epoch 55  |
|          3330 |    42090.8047 | Layer 1 | Epoch 55  |
|          3360 |    41989.9023 | Layer 1 | Epoch 56  |
|          3390 |    42398.2695 | Layer 1 | Epoch 56  |
|          3420 |    40767.7852 | Layer 1 | Epoch 57  |
|          3450 |    43055.1641 | Layer 1 | Epoch 57  |
|          3480 |    43243.0742 | Layer 1 | Epoch 58  |
|          3510 |    42406.6289 | Layer 1 | Epoch 58  |
|          3540 |    43449.4766 | Layer 1 | Epoch 59  |
|          3570 |    43430.1484 | Layer 1 | Epoch 59  |
|          3600 |    42363.1484 | Layer 1 | Epoch 60  |
|          3630 |    43057.9570 | Layer 1 | Epoch 60  |
|          3660 |    42185.8203 | Layer 1 | Epoch 61  |
|          3690 |    42609.1445 | Layer 1 | Epoch 61  |
|          3720 |    42886.6914 | Layer 1 | Epoch 61  |
|          3750 |    42843.3867 | Layer 1 | Epoch 62  |
|          3780 |    42959.0234 | Layer 1 | Epoch 62  |
|          3810 |    43022.0859 | Layer 1 | Epoch 63  |
|          3840 |    41584.0820 | Layer 1 | Epoch 63  |
|          3870 |    41967.6797 | Layer 1 | Epoch 64  |
|          3900 |    43018.1445 | Layer 1 | Epoch 64  |
|          3930 |    42818.2578 | Layer 1 | Epoch 65  |
|          3960 |    42754.7266 | Layer 1 | Epoch 65  |
|          3990 |    42469.0391 | Layer 1 | Epoch 66  |
|          4020 |    42599.2500 | Layer 1 | Epoch 66  |
|          4050 |    42478.4961 | Layer 1 | Epoch 67  |
|          4080 |    42432.9297 | Layer 1 | Epoch 67  |
|          4110 |    42975.8633 | Layer 1 | Epoch 68  |
|          4140 |    42530.7695 | Layer 1 | Epoch 68  |
|          4170 |    41688.6758 | Layer 1 | Epoch 69  |
|          4200 |    41825.5820 | Layer 1 | Epoch 69  |
|          4230 |    43303.4688 | Layer 1 | Epoch 70  |
|          4260 |    41109.3438 | Layer 1 | Epoch 70  |
|          4290 |    43471.9688 | Layer 1 | Epoch 71  |
|          4320 |    42024.6250 | Layer 1 | Epoch 71  |
|          4350 |    42916.8906 | Layer 1 | Epoch 72  |
|          4380 |    42033.3203 | Layer 1 | Epoch 72  |
|          4410 |    43489.6562 | Layer 1 | Epoch 73  |
|          4440 |    42820.3242 | Layer 1 | Epoch 73  |
|          4470 |    42483.2695 | Layer 1 | Epoch 74  |
|          4500 |    41772.7656 | Layer 1 | Epoch 74  |
|          4530 |    42863.1797 | Layer 1 | Epoch 75  |
|          4560 |    42917.2148 | Layer 1 | Epoch 75  |
|          4590 |    41546.1484 | Layer 1 | Epoch 76  |
|          4620 |    42080.7578 | Layer 1 | Epoch 76  |
|          4650 |    42301.0508 | Layer 1 | Epoch 77  |
|          4680 |    42402.2031 | Layer 1 | Epoch 77  |
|          4710 |    42221.6055 | Layer 1 | Epoch 78  |
|          4740 |    41922.8047 | Layer 1 | Epoch 78  |
|          4770 |    42083.2188 | Layer 1 | Epoch 79  |
|          4800 |    42631.3047 | Layer 1 | Epoch 79  |
|          4830 |    42893.5078 | Layer 1 | Epoch 80  |
|          4860 |    41957.8320 | Layer 1 | Epoch 80  |
|          4890 |    41981.8320 | Layer 1 | Epoch 81  |
|          4920 |    42471.6562 | Layer 1 | Epoch 81  |
|          4950 |    42411.1016 | Layer 1 | Epoch 82  |
|          4980 |    42524.0508 | Layer 1 | Epoch 82  |
|          5010 |    41027.7500 | Layer 1 | Epoch 83  |
|          5040 |    41238.8750 | Layer 1 | Epoch 83  |
|          5070 |    42280.0469 | Layer 1 | Epoch 84  |
|          5100 |    42289.1172 | Layer 1 | Epoch 84  |
|          5130 |    42376.5000 | Layer 1 | Epoch 85  |
|          5160 |    42173.7422 | Layer 1 | Epoch 85  |
|          5190 |    42543.4531 | Layer 1 | Epoch 86  |
|          5220 |    43149.4141 | Layer 1 | Epoch 86  |
|          5250 |    41533.1992 | Layer 1 | Epoch 87  |
|          5280 |    41306.6875 | Layer 1 | Epoch 87  |
|          5310 |    42789.7930 | Layer 1 | Epoch 88  |
|          5340 |    43526.4141 | Layer 1 | Epoch 88  |
|          5370 |    42127.6211 | Layer 1 | Epoch 89  |
|          5400 |    42109.2461 | Layer 1 | Epoch 89  |
|          5430 |    42138.1328 | Layer 1 | Epoch 90  |
|          5460 |    42218.5625 | Layer 1 | Epoch 90  |
|          5490 |    41715.8750 | Layer 1 | Epoch 91  |
|          5520 |    42223.1914 | Layer 1 | Epoch 91  |
|          5550 |    40491.1641 | Layer 1 | Epoch 91  |
|          5580 |    41454.4922 | Layer 1 | Epoch 92  |
|          5610 |    41931.8828 | Layer 1 | Epoch 92  |
|          5640 |    42750.6055 | Layer 1 | Epoch 93  |
|          5670 |    41620.5547 | Layer 1 | Epoch 93  |
|          5700 |    41897.9688 | Layer 1 | Epoch 94  |
|          5730 |    41862.8164 | Layer 1 | Epoch 94  |
|          5760 |    40321.7930 | Layer 1 | Epoch 95  |
|          5790 |    41542.9570 | Layer 1 | Epoch 95  |
|          5820 |    41434.2578 | Layer 1 | Epoch 96  |
|          5850 |    43175.3516 | Layer 1 | Epoch 96  |
|          5880 |    42005.9883 | Layer 1 | Epoch 97  |
|          5910 |    42106.9844 | Layer 1 | Epoch 97  |
|          5940 |    42781.7773 | Layer 1 | Epoch 98  |
|          5970 |    42560.3672 | Layer 1 | Epoch 98  |
|          6000 |    41150.0391 | Layer 1 | Epoch 99  |
|          6030 |    41312.5820 | Layer 1 | Epoch 99  |
|          6060 |    42743.0078 | Layer 1 | Epoch 100  |
|          6090 |    40717.6484 | Layer 1 | Epoch 100  |
|          6120 |    42178.2422 | Layer 1 | Epoch 101  |
|          6150 |    42727.1250 | Layer 1 | Epoch 101  |
|          6180 |    42672.1211 | Layer 1 | Epoch 102  |
|          6210 |    42140.3672 | Layer 1 | Epoch 102  |
|          6240 |    41797.4492 | Layer 1 | Epoch 103  |
|          6270 |    42539.1562 | Layer 1 | Epoch 103  |
|          6300 |    42260.8086 | Layer 1 | Epoch 104  |
|          6330 |    42337.5508 | Layer 1 | Epoch 104  |
|          6360 |    41622.0703 | Layer 1 | Epoch 105  |
|          6390 |    42434.3555 | Layer 1 | Epoch 105  |
|          6420 |    42102.0703 | Layer 1 | Epoch 106  |
|          6450 |    40340.8789 | Layer 1 | Epoch 106  |
|          6480 |    41885.8711 | Layer 1 | Epoch 107  |
|          6510 |    41185.1445 | Layer 1 | Epoch 107  |
|          6540 |    41171.2852 | Layer 1 | Epoch 108  |
|          6570 |    41544.7773 | Layer 1 | Epoch 108  |
|          6600 |    41911.3008 | Layer 1 | Epoch 109  |
|          6630 |    42800.6016 | Layer 1 | Epoch 109  |
|          6660 |    42012.0820 | Layer 1 | Epoch 110  |
|          6690 |    42620.9961 | Layer 1 | Epoch 110  |
|          6720 |    41668.5117 | Layer 1 | Epoch 111  |
|          6750 |    40867.9883 | Layer 1 | Epoch 111  |
|          6780 |    41577.6406 | Layer 1 | Epoch 112  |
|          6810 |    42792.9023 | Layer 1 | Epoch 112  |
|          6840 |    41807.8672 | Layer 1 | Epoch 113  |
|          6870 |    42597.0234 | Layer 1 | Epoch 113  |
|          6900 |    42950.0742 | Layer 1 | Epoch 114  |
|          6930 |    41438.3438 | Layer 1 | Epoch 114  |
|          6960 |    41938.4688 | Layer 1 | Epoch 115  |
|          6990 |    42347.8906 | Layer 1 | Epoch 115  |
|          7020 |    41836.0938 | Layer 1 | Epoch 116  |
|          7050 |    40984.6172 | Layer 1 | Epoch 116  |
|          7080 |    41174.0977 | Layer 1 | Epoch 117  |
|          7110 |    41937.6484 | Layer 1 | Epoch 117  |
|          7140 |    41896.7305 | Layer 1 | Epoch 118  |
|          7170 |    41376.7578 | Layer 1 | Epoch 118  |
|          7200 |    40997.8945 | Layer 1 | Epoch 119  |
