2017-11-27 03:53:29.032408: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 03:53:29.032437: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 03:53:29.032449: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 03:53:29.032455: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-27 03:53:29.032461: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45632.2266 | Layer 1 | Epoch 1  |
|            30 |    45405.1328 | Layer 1 | Epoch 1  |
|            60 |    45389.4336 | Layer 1 | Epoch 1  |
|            90 |    45386.3906 | Layer 1 | Epoch 2  |
|           120 |    45390.4141 | Layer 1 | Epoch 2  |
|           150 |    45367.3633 | Layer 1 | Epoch 3  |
|           180 |    45347.9922 | Layer 1 | Epoch 3  |
|           210 |    45348.1680 | Layer 1 | Epoch 4  |
|           240 |    45326.1797 | Layer 1 | Epoch 4  |
|           270 |    45314.6016 | Layer 1 | Epoch 5  |
|           300 |    45226.0195 | Layer 1 | Epoch 5  |
|           330 |    45254.2930 | Layer 1 | Epoch 6  |
|           360 |    45116.8359 | Layer 1 | Epoch 6  |
|           390 |    45140.8203 | Layer 1 | Epoch 7  |
|           420 |    45120.9297 | Layer 1 | Epoch 7  |
|           450 |    45168.6367 | Layer 1 | Epoch 8  |
|           480 |    44914.7109 | Layer 1 | Epoch 8  |
|           510 |    44887.9375 | Layer 1 | Epoch 9  |
|           540 |    44792.4180 | Layer 1 | Epoch 9  |
|           570 |    45060.2891 | Layer 1 | Epoch 10  |
|           600 |    44832.9453 | Layer 1 | Epoch 10  |
|           630 |    44843.9961 | Layer 1 | Epoch 11  |
|           660 |    44966.3633 | Layer 1 | Epoch 11  |
|           690 |    44574.4961 | Layer 1 | Epoch 12  |
|           720 |    44780.6641 | Layer 1 | Epoch 12  |
|           750 |    44770.9961 | Layer 1 | Epoch 13  |
|           780 |    44747.4414 | Layer 1 | Epoch 13  |
|           810 |    44434.2148 | Layer 1 | Epoch 14  |
|           840 |    44430.8047 | Layer 1 | Epoch 14  |
|           870 |    44298.2578 | Layer 1 | Epoch 15  |
|           900 |    44086.3008 | Layer 1 | Epoch 15  |
|           930 |    44122.3516 | Layer 1 | Epoch 16  |
|           960 |    44538.0820 | Layer 1 | Epoch 16  |
|           990 |    44546.3672 | Layer 1 | Epoch 17  |
|          1020 |    44257.0742 | Layer 1 | Epoch 17  |
|          1050 |    44666.6445 | Layer 1 | Epoch 18  |
|          1080 |    44701.4648 | Layer 1 | Epoch 18  |
|          1110 |    44146.3672 | Layer 1 | Epoch 19  |
|          1140 |    44177.3906 | Layer 1 | Epoch 19  |
|          1170 |    43422.7539 | Layer 1 | Epoch 20  |
|          1200 |    44407.5234 | Layer 1 | Epoch 20  |
|          1230 |    44026.2305 | Layer 1 | Epoch 21  |
|          1260 |    44246.7539 | Layer 1 | Epoch 21  |
|          1290 |    43748.0703 | Layer 1 | Epoch 22  |
|          1320 |    44233.5547 | Layer 1 | Epoch 22  |
|          1350 |    43912.3203 | Layer 1 | Epoch 23  |
|          1380 |    43910.1523 | Layer 1 | Epoch 23  |
|          1410 |    43526.7031 | Layer 1 | Epoch 24  |
|          1440 |    43907.4766 | Layer 1 | Epoch 24  |
|          1470 |    43564.3672 | Layer 1 | Epoch 25  |
|          1500 |    43929.0117 | Layer 1 | Epoch 25  |
|          1530 |    43732.8867 | Layer 1 | Epoch 26  |
|          1560 |    43714.5859 | Layer 1 | Epoch 26  |
|          1590 |    43480.5859 | Layer 1 | Epoch 27  |
|          1620 |    43724.9531 | Layer 1 | Epoch 27  |
|          1650 |    43864.1875 | Layer 1 | Epoch 28  |
|          1680 |    42989.8906 | Layer 1 | Epoch 28  |
|          1710 |    43125.6328 | Layer 1 | Epoch 29  |
|          1740 |    43376.8203 | Layer 1 | Epoch 29  |
|          1770 |    44007.0547 | Layer 1 | Epoch 30  |
|          1800 |    43386.6680 | Layer 1 | Epoch 30  |
|          1830 |    43722.0000 | Layer 1 | Epoch 31  |
