2017-11-21 05:32:15.611996: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 05:32:15.612014: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 05:32:15.612019: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 05:32:15.612022: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 05:32:15.612025: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45607.9648 | Layer 1 | Epoch 1  |
|            30 |    45404.6562 | Layer 1 | Epoch 1  |
|            60 |    45398.9453 | Layer 1 | Epoch 1  |
|            90 |    45390.7930 | Layer 1 | Epoch 2  |
|           120 |    45389.0000 | Layer 1 | Epoch 2  |
|           150 |    45360.1719 | Layer 1 | Epoch 3  |
|           180 |    45357.7148 | Layer 1 | Epoch 3  |
|           210 |    45336.1875 | Layer 1 | Epoch 4  |
|           240 |    45294.9453 | Layer 1 | Epoch 4  |
|           270 |    45329.6953 | Layer 1 | Epoch 5  |
|           300 |    45320.1328 | Layer 1 | Epoch 5  |
|           330 |    45237.3242 | Layer 1 | Epoch 6  |
|           360 |    45216.4141 | Layer 1 | Epoch 6  |
|           390 |    45200.4102 | Layer 1 | Epoch 7  |
|           420 |    45264.0742 | Layer 1 | Epoch 7  |
|           450 |    45140.2188 | Layer 1 | Epoch 8  |
|           480 |    44885.7109 | Layer 1 | Epoch 8  |
|           510 |    44863.9180 | Layer 1 | Epoch 9  |
|           540 |    44981.6797 | Layer 1 | Epoch 9  |
|           570 |    45078.8711 | Layer 1 | Epoch 10  |
|           600 |    44879.7305 | Layer 1 | Epoch 10  |
|           630 |    44727.8438 | Layer 1 | Epoch 11  |
|           660 |    44933.6328 | Layer 1 | Epoch 11  |
|           690 |    44731.3984 | Layer 1 | Epoch 12  |
|           720 |    44588.9219 | Layer 1 | Epoch 12  |
|           750 |    44643.3672 | Layer 1 | Epoch 13  |
|           780 |    44589.1055 | Layer 1 | Epoch 13  |
|           810 |    44512.9141 | Layer 1 | Epoch 14  |
|           840 |    44456.8672 | Layer 1 | Epoch 14  |
|           870 |    44383.0781 | Layer 1 | Epoch 15  |
|           900 |    44661.5508 | Layer 1 | Epoch 15  |
|           930 |    44259.3828 | Layer 1 | Epoch 16  |
|           960 |    44089.2266 | Layer 1 | Epoch 16  |
|           990 |    44056.6055 | Layer 1 | Epoch 17  |
|          1020 |    44400.8906 | Layer 1 | Epoch 17  |
|          1050 |    44380.2070 | Layer 1 | Epoch 18  |
|          1080 |    44514.5234 | Layer 1 | Epoch 18  |
|          1110 |    44030.4453 | Layer 1 | Epoch 19  |
|          1140 |    44177.6250 | Layer 1 | Epoch 19  |
|          1170 |    44001.3477 | Layer 1 | Epoch 20  |
|          1200 |    43591.5039 | Layer 1 | Epoch 20  |
|          1230 |    43668.2852 | Layer 1 | Epoch 21  |
|          1260 |    44341.3750 | Layer 1 | Epoch 21  |
|          1290 |    44148.0938 | Layer 1 | Epoch 22  |
|          1320 |    43903.6797 | Layer 1 | Epoch 22  |
|          1350 |    44024.5391 | Layer 1 | Epoch 23  |
|          1380 |    43976.7578 | Layer 1 | Epoch 23  |
|          1410 |    44327.8906 | Layer 1 | Epoch 24  |
|          1440 |    44054.6719 | Layer 1 | Epoch 24  |
|          1470 |    43659.5391 | Layer 1 | Epoch 25  |
|          1500 |    44344.6953 | Layer 1 | Epoch 25  |
|          1530 |    43845.9766 | Layer 1 | Epoch 26  |
|          1560 |    43894.8203 | Layer 1 | Epoch 26  |
|          1590 |    43475.0898 | Layer 1 | Epoch 27  |
|          1620 |    43689.6055 | Layer 1 | Epoch 27  |
|          1650 |    43513.2070 | Layer 1 | Epoch 28  |
|          1680 |    43878.5078 | Layer 1 | Epoch 28  |
|          1710 |    43672.3828 | Layer 1 | Epoch 29  |
|          1740 |    44010.1445 | Layer 1 | Epoch 29  |
|          1770 |    43223.4297 | Layer 1 | Epoch 30  |
|          1800 |    42946.3633 | Layer 1 | Epoch 30  |
|          1830 |    43103.9297 | Layer 1 | Epoch 31  |
|          1860 |    43556.9883 | Layer 1 | Epoch 31  |
|          1890 |    44158.7500 | Layer 1 | Epoch 31  |
|          1920 |    43498.8711 | Layer 1 | Epoch 32  |
|          1950 |    43374.5859 | Layer 1 | Epoch 32  |
|          1980 |    43700.6328 | Layer 1 | Epoch 33  |
|          2010 |    43406.9570 | Layer 1 | Epoch 33  |
|          2040 |    42901.4180 | Layer 1 | Epoch 34  |
|          2070 |    43039.5430 | Layer 1 | Epoch 34  |
|          2100 |    43545.1484 | Layer 1 | Epoch 35  |
|          2130 |    43606.6602 | Layer 1 | Epoch 35  |
|          2160 |    43440.4883 | Layer 1 | Epoch 36  |
|          2190 |    43855.1523 | Layer 1 | Epoch 36  |
|          2220 |    43291.6641 | Layer 1 | Epoch 37  |
|          2250 |    43213.3438 | Layer 1 | Epoch 37  |
|          2280 |    43287.9453 | Layer 1 | Epoch 38  |
|          2310 |    43205.5859 | Layer 1 | Epoch 38  |
|          2340 |    43460.2891 | Layer 1 | Epoch 39  |
|          2370 |    43768.6953 | Layer 1 | Epoch 39  |
|          2400 |    42770.2422 | Layer 1 | Epoch 40  |
|          2430 |    43069.5547 | Layer 1 | Epoch 40  |
|          2460 |    44041.3477 | Layer 1 | Epoch 41  |
|          2490 |    42750.5977 | Layer 1 | Epoch 41  |
|          2520 |    42874.6562 | Layer 1 | Epoch 42  |
|          2550 |    43084.4922 | Layer 1 | Epoch 42  |
|          2580 |    42914.7266 | Layer 1 | Epoch 43  |
|          2610 |    43630.5234 | Layer 1 | Epoch 43  |
|          2640 |    42469.8516 | Layer 1 | Epoch 44  |
|          2670 |    43032.1641 | Layer 1 | Epoch 44  |
|          2700 |    42610.2422 | Layer 1 | Epoch 45  |
|          2730 |    43205.7930 | Layer 1 | Epoch 45  |
|          2760 |    42894.0234 | Layer 1 | Epoch 46  |
|          2790 |    43487.6641 | Layer 1 | Epoch 46  |
|          2820 |    43242.4570 | Layer 1 | Epoch 47  |
|          2850 |    42393.0820 | Layer 1 | Epoch 47  |
|          2880 |    42788.0234 | Layer 1 | Epoch 48  |
|          2910 |    43227.0508 | Layer 1 | Epoch 48  |
|          2940 |    42519.0625 | Layer 1 | Epoch 49  |
|          2970 |    42807.4688 | Layer 1 | Epoch 49  |
|          3000 |    43476.2305 | Layer 1 | Epoch 50  |
|          3030 |    42585.9922 | Layer 1 | Epoch 50  |
|          3060 |    42961.6914 | Layer 1 | Epoch 51  |
|          3090 |    42893.3633 | Layer 1 | Epoch 51  |
|          3120 |    42643.2617 | Layer 1 | Epoch 52  |
|          3150 |    42629.9453 | Layer 1 | Epoch 52  |
|          3180 |    43394.3516 | Layer 1 | Epoch 53  |
|          3210 |    43131.0703 | Layer 1 | Epoch 53  |
|          3240 |    42045.3672 | Layer 1 | Epoch 54  |
|          3270 |    43383.5117 | Layer 1 | Epoch 54  |
|          3300 |    42429.3516 | Layer 1 | Epoch 55  |
|          3330 |    42202.9102 | Layer 1 | Epoch 55  |
|          3360 |    43048.7422 | Layer 1 | Epoch 56  |
|          3390 |    42183.9727 | Layer 1 | Epoch 56  |
|          3420 |    42909.5547 | Layer 1 | Epoch 57  |
|          3450 |    43041.1055 | Layer 1 | Epoch 57  |
|          3480 |    42654.9414 | Layer 1 | Epoch 58  |
|          3510 |    43358.8828 | Layer 1 | Epoch 58  |
|          3540 |    42783.4492 | Layer 1 | Epoch 59  |
|          3570 |    42377.8828 | Layer 1 | Epoch 59  |
|          3600 |    42424.5078 | Layer 1 | Epoch 60  |
|          3630 |    43097.2422 | Layer 1 | Epoch 60  |
