2017-11-19 04:51:26.633501: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-19 04:51:26.633519: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-19 04:51:26.633523: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-19 04:51:26.633526: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-19 04:51:26.633529: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46143.5820 | Layer 1 | Epoch 1  |
|            30 |    45341.6953 | Layer 1 | Epoch 1  |
|            60 |    45357.0508 | Layer 1 | Epoch 1  |
|            90 |    45273.5352 | Layer 1 | Epoch 2  |
|           120 |    45226.5742 | Layer 1 | Epoch 2  |
|           150 |    45226.5430 | Layer 1 | Epoch 3  |
|           180 |    45227.0312 | Layer 1 | Epoch 3  |
|           210 |    45144.7930 | Layer 1 | Epoch 4  |
|           240 |    44951.4922 | Layer 1 | Epoch 4  |
|           270 |    44946.6484 | Layer 1 | Epoch 5  |
|           300 |    44770.7578 | Layer 1 | Epoch 5  |
|           330 |    44470.4297 | Layer 1 | Epoch 6  |
|           360 |    44571.7109 | Layer 1 | Epoch 6  |
|           390 |    44160.2734 | Layer 1 | Epoch 7  |
|           420 |    44458.5000 | Layer 1 | Epoch 7  |
|           450 |    44425.0391 | Layer 1 | Epoch 8  |
|           480 |    44515.0938 | Layer 1 | Epoch 8  |
|           510 |    44083.0312 | Layer 1 | Epoch 9  |
|           540 |    44264.1367 | Layer 1 | Epoch 9  |
|           570 |    44228.7812 | Layer 1 | Epoch 10  |
|           600 |    43988.1680 | Layer 1 | Epoch 10  |
|           630 |    44006.1328 | Layer 1 | Epoch 11  |
|           660 |    43442.8359 | Layer 1 | Epoch 11  |
|           690 |    43785.1133 | Layer 1 | Epoch 12  |
