2017-11-20 02:23:10.105305: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 02:23:10.105323: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 02:23:10.105328: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 02:23:10.105331: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 02:23:10.105334: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45769.6484 | Layer 1 | Epoch 1  |
|            30 |    45388.2305 | Layer 1 | Epoch 1  |
|            60 |    45380.7383 | Layer 1 | Epoch 1  |
|            90 |    45360.9141 | Layer 1 | Epoch 2  |
|           120 |    45361.0508 | Layer 1 | Epoch 2  |
|           150 |    45314.8281 | Layer 1 | Epoch 3  |
|           180 |    45268.3242 | Layer 1 | Epoch 3  |
|           210 |    45306.3945 | Layer 1 | Epoch 4  |
|           240 |    45219.7109 | Layer 1 | Epoch 4  |
|           270 |    45182.7148 | Layer 1 | Epoch 5  |
|           300 |    45063.2266 | Layer 1 | Epoch 5  |
|           330 |    45006.3320 | Layer 1 | Epoch 6  |
|           360 |    45098.8750 | Layer 1 | Epoch 6  |
|           390 |    44869.2969 | Layer 1 | Epoch 7  |
|           420 |    44942.4336 | Layer 1 | Epoch 7  |
|           450 |    45020.6367 | Layer 1 | Epoch 8  |
|           480 |    44514.6484 | Layer 1 | Epoch 8  |
|           510 |    44702.4805 | Layer 1 | Epoch 9  |
|           540 |    44540.0195 | Layer 1 | Epoch 9  |
|           570 |    44681.3125 | Layer 1 | Epoch 10  |
|           600 |    44322.9375 | Layer 1 | Epoch 10  |
|           630 |    44599.5312 | Layer 1 | Epoch 11  |
|           660 |    44325.4062 | Layer 1 | Epoch 11  |
|           690 |    44328.7812 | Layer 1 | Epoch 12  |
|           720 |    44067.3281 | Layer 1 | Epoch 12  |
|           750 |    43892.7734 | Layer 1 | Epoch 13  |
|           780 |    43989.4141 | Layer 1 | Epoch 13  |
|           810 |    44294.2227 | Layer 1 | Epoch 14  |
|           840 |    43740.2578 | Layer 1 | Epoch 14  |
|           870 |    43635.0625 | Layer 1 | Epoch 15  |
|           900 |    44421.0234 | Layer 1 | Epoch 15  |
|           930 |    44166.1016 | Layer 1 | Epoch 16  |
|           960 |    43937.5078 | Layer 1 | Epoch 16  |
|           990 |    44130.9141 | Layer 1 | Epoch 17  |
|          1020 |    43950.8828 | Layer 1 | Epoch 17  |
|          1050 |    43384.0078 | Layer 1 | Epoch 18  |
|          1080 |    44520.8984 | Layer 1 | Epoch 18  |
|          1110 |    43568.9531 | Layer 1 | Epoch 19  |
|          1140 |    43928.0391 | Layer 1 | Epoch 19  |
|          1170 |    43595.6172 | Layer 1 | Epoch 20  |
|          1200 |    43891.6367 | Layer 1 | Epoch 20  |
|          1230 |    43851.2812 | Layer 1 | Epoch 21  |
|          1260 |    43870.8555 | Layer 1 | Epoch 21  |
|          1290 |    43215.7305 | Layer 1 | Epoch 22  |
|          1320 |    43637.5234 | Layer 1 | Epoch 22  |
|          1350 |    43807.1367 | Layer 1 | Epoch 23  |
|          1380 |    43970.2891 | Layer 1 | Epoch 23  |
|          1410 |    43177.5977 | Layer 1 | Epoch 24  |
|          1440 |    42838.9219 | Layer 1 | Epoch 24  |
|          1470 |    43509.0547 | Layer 1 | Epoch 25  |
|          1500 |    42699.9062 | Layer 1 | Epoch 25  |
|          1530 |    42736.8828 | Layer 1 | Epoch 26  |
|          1560 |    42423.0703 | Layer 1 | Epoch 26  |
|          1590 |    44100.8281 | Layer 1 | Epoch 27  |
|          1620 |    43652.3047 | Layer 1 | Epoch 27  |
|          1650 |    42348.8203 | Layer 1 | Epoch 28  |
|          1680 |    41741.6250 | Layer 1 | Epoch 28  |
|          1710 |    43006.4453 | Layer 1 | Epoch 29  |
|          1740 |    42232.6641 | Layer 1 | Epoch 29  |
|          1770 |    43133.0742 | Layer 1 | Epoch 30  |
|          1800 |    42149.4883 | Layer 1 | Epoch 30  |
|          1830 |    41209.5586 | Layer 1 | Epoch 31  |
|          1860 |    43493.8672 | Layer 1 | Epoch 31  |
|          1890 |    43437.3438 | Layer 1 | Epoch 31  |
|          1920 |    43399.3281 | Layer 1 | Epoch 32  |
|          1950 |    42650.0742 | Layer 1 | Epoch 32  |
|          1980 |    42503.9766 | Layer 1 | Epoch 33  |
|          2010 |    42709.8008 | Layer 1 | Epoch 33  |
|          2040 |    42839.9023 | Layer 1 | Epoch 34  |
|          2070 |    42706.2344 | Layer 1 | Epoch 34  |
|          2100 |    42818.2266 | Layer 1 | Epoch 35  |
|          2130 |    41806.3828 | Layer 1 | Epoch 35  |
|          2160 |    42648.5234 | Layer 1 | Epoch 36  |
|          2190 |    42415.6797 | Layer 1 | Epoch 36  |
|          2220 |    42207.2734 | Layer 1 | Epoch 37  |
|          2250 |    42577.5703 | Layer 1 | Epoch 37  |
|          2280 |    42078.2070 | Layer 1 | Epoch 38  |
|          2310 |    42172.7422 | Layer 1 | Epoch 38  |
|          2340 |    41910.7422 | Layer 1 | Epoch 39  |
|          2370 |    43399.3047 | Layer 1 | Epoch 39  |
|          2400 |    43393.5781 | Layer 1 | Epoch 40  |
|          2430 |    42130.9258 | Layer 1 | Epoch 40  |
|          2460 |    42080.7891 | Layer 1 | Epoch 41  |
|          2490 |    41684.5312 | Layer 1 | Epoch 41  |
|          2520 |    42790.6367 | Layer 1 | Epoch 42  |
|          2550 |    42883.0898 | Layer 1 | Epoch 42  |
|          2580 |    42148.3945 | Layer 1 | Epoch 43  |
|          2610 |    42414.7578 | Layer 1 | Epoch 43  |
|          2640 |    42180.7109 | Layer 1 | Epoch 44  |
|          2670 |    42574.6133 | Layer 1 | Epoch 44  |
|          2700 |    42957.4805 | Layer 1 | Epoch 45  |
|          2730 |    42544.3438 | Layer 1 | Epoch 45  |
|          2760 |    42614.4766 | Layer 1 | Epoch 46  |
|          2790 |    41816.7891 | Layer 1 | Epoch 46  |
|          2820 |    43093.0703 | Layer 1 | Epoch 47  |
|          2850 |    41457.2188 | Layer 1 | Epoch 47  |
|          2880 |    42304.2305 | Layer 1 | Epoch 48  |
|          2910 |    41729.3359 | Layer 1 | Epoch 48  |
|          2940 |    42817.8867 | Layer 1 | Epoch 49  |
|          2970 |    41367.5742 | Layer 1 | Epoch 49  |
|          3000 |    42461.2031 | Layer 1 | Epoch 50  |
|          3030 |    41717.3594 | Layer 1 | Epoch 50  |
|          3060 |    41075.7773 | Layer 1 | Epoch 51  |
|          3090 |    42693.1953 | Layer 1 | Epoch 51  |
|          3120 |    41907.3711 | Layer 1 | Epoch 52  |
|          3150 |    42730.0664 | Layer 1 | Epoch 52  |
|          3180 |    41960.5234 | Layer 1 | Epoch 53  |
|          3210 |    41686.8320 | Layer 1 | Epoch 53  |
|          3240 |    42258.7734 | Layer 1 | Epoch 54  |
|          3270 |    41657.9922 | Layer 1 | Epoch 54  |
|          3300 |    41707.2734 | Layer 1 | Epoch 55  |
|          3330 |    42527.3125 | Layer 1 | Epoch 55  |
|          3360 |    42263.2695 | Layer 1 | Epoch 56  |
|          3390 |    43583.3047 | Layer 1 | Epoch 56  |
|          3420 |    41523.2500 | Layer 1 | Epoch 57  |
|          3450 |    41600.4531 | Layer 1 | Epoch 57  |
|          3480 |    41995.9180 | Layer 1 | Epoch 58  |
|          3510 |    42423.6367 | Layer 1 | Epoch 58  |
|          3540 |    41238.4375 | Layer 1 | Epoch 59  |
|          3570 |    41692.8828 | Layer 1 | Epoch 59  |
|          3600 |    42190.1641 | Layer 1 | Epoch 60  |
|          3630 |    42012.3789 | Layer 1 | Epoch 60  |
|          3660 |    41487.8281 | Layer 1 | Epoch 61  |
|          3690 |    42068.4766 | Layer 1 | Epoch 61  |
|          3720 |    41800.7891 | Layer 1 | Epoch 61  |
|          3750 |    42637.6328 | Layer 1 | Epoch 62  |
|          3780 |    42227.9727 | Layer 1 | Epoch 62  |
|          3810 |    42023.2734 | Layer 1 | Epoch 63  |
|          3840 |    41363.6328 | Layer 1 | Epoch 63  |
|          3870 |    41598.6367 | Layer 1 | Epoch 64  |
|          3900 |    40860.3203 | Layer 1 | Epoch 64  |
|          3930 |    41208.0391 | Layer 1 | Epoch 65  |
|          3960 |    41866.8203 | Layer 1 | Epoch 65  |
|          3990 |    41192.1875 | Layer 1 | Epoch 66  |
|          4020 |    42221.2070 | Layer 1 | Epoch 66  |
|          4050 |    42068.7305 | Layer 1 | Epoch 67  |
|          4080 |    41535.2734 | Layer 1 | Epoch 67  |
|          4110 |    41190.0391 | Layer 1 | Epoch 68  |
|          4140 |    42965.0625 | Layer 1 | Epoch 68  |
|          4170 |    41113.3359 | Layer 1 | Epoch 69  |
|          4200 |    42086.0391 | Layer 1 | Epoch 69  |
|          4230 |    42340.2891 | Layer 1 | Epoch 70  |
|          4260 |    42104.0195 | Layer 1 | Epoch 70  |
|          4290 |    42371.8242 | Layer 1 | Epoch 71  |
|          4320 |    40913.3711 | Layer 1 | Epoch 71  |
|          4350 |    41786.6328 | Layer 1 | Epoch 72  |
|          4380 |    40553.8164 | Layer 1 | Epoch 72  |
|          4410 |    42337.2188 | Layer 1 | Epoch 73  |
|          4440 |    42121.4883 | Layer 1 | Epoch 73  |
|          4470 |    41849.9688 | Layer 1 | Epoch 74  |
|          4500 |    42704.6836 | Layer 1 | Epoch 74  |
|          4530 |    42498.3359 | Layer 1 | Epoch 75  |
|          4560 |    40370.9180 | Layer 1 | Epoch 75  |
|          4590 |    41463.2812 | Layer 1 | Epoch 76  |
|          4620 |    40937.3945 | Layer 1 | Epoch 76  |
|          4650 |    40183.4609 | Layer 1 | Epoch 77  |
|          4680 |    41043.3867 | Layer 1 | Epoch 77  |
|          4710 |    42208.9375 | Layer 1 | Epoch 78  |
|          4740 |    41712.7188 | Layer 1 | Epoch 78  |
|          4770 |    41490.3281 | Layer 1 | Epoch 79  |
|          4800 |    41137.4688 | Layer 1 | Epoch 79  |
|          4830 |    41176.5234 | Layer 1 | Epoch 80  |
|          4860 |    40987.9609 | Layer 1 | Epoch 80  |
|          4890 |    41806.6914 | Layer 1 | Epoch 81  |
|          4920 |    39879.2383 | Layer 1 | Epoch 81  |
|          4950 |    42379.7109 | Layer 1 | Epoch 82  |
|          4980 |    42354.0234 | Layer 1 | Epoch 82  |
|          5010 |    41275.8359 | Layer 1 | Epoch 83  |
|          5040 |    41257.7891 | Layer 1 | Epoch 83  |
|          5070 |    41447.0625 | Layer 1 | Epoch 84  |
|          5100 |    41731.3672 | Layer 1 | Epoch 84  |
|          5130 |    41645.5625 | Layer 1 | Epoch 85  |
|          5160 |    40976.5234 | Layer 1 | Epoch 85  |
|          5190 |    40956.6836 | Layer 1 | Epoch 86  |
|          5220 |    41842.9766 | Layer 1 | Epoch 86  |
|          5250 |    41514.7930 | Layer 1 | Epoch 87  |
|          5280 |    40520.9453 | Layer 1 | Epoch 87  |
|          5310 |    41238.0859 | Layer 1 | Epoch 88  |
|          5340 |    41409.0234 | Layer 1 | Epoch 88  |
|          5370 |    40693.1484 | Layer 1 | Epoch 89  |
|          5400 |    40462.3008 | Layer 1 | Epoch 89  |
|          5430 |    40799.9922 | Layer 1 | Epoch 90  |
|          5460 |    42167.1211 | Layer 1 | Epoch 90  |
|          5490 |    39742.9180 | Layer 1 | Epoch 91  |
|          5520 |    40864.8633 | Layer 1 | Epoch 91  |
|          5550 |    41854.4141 | Layer 1 | Epoch 91  |
