2017-11-21 12:58:46.728775: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 12:58:46.728795: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 12:58:46.728799: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 12:58:46.728803: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 12:58:46.728806: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45516.5586 | Layer 1 | Epoch 1  |
|            30 |    45414.7383 | Layer 1 | Epoch 1  |
|            60 |    45408.5156 | Layer 1 | Epoch 1  |
|            90 |    45406.0703 | Layer 1 | Epoch 2  |
|           120 |    45391.8672 | Layer 1 | Epoch 2  |
|           150 |    45409.2305 | Layer 1 | Epoch 3  |
|           180 |    45388.2500 | Layer 1 | Epoch 3  |
|           210 |    45376.8672 | Layer 1 | Epoch 4  |
|           240 |    45367.2969 | Layer 1 | Epoch 4  |
|           270 |    45369.2070 | Layer 1 | Epoch 5  |
|           300 |    45335.8477 | Layer 1 | Epoch 5  |
|           330 |    45304.8203 | Layer 1 | Epoch 6  |
|           360 |    45274.7695 | Layer 1 | Epoch 6  |
|           390 |    45334.3008 | Layer 1 | Epoch 7  |
|           420 |    45306.1367 | Layer 1 | Epoch 7  |
|           450 |    45189.2266 | Layer 1 | Epoch 8  |
|           480 |    45112.8438 | Layer 1 | Epoch 8  |
|           510 |    45196.5117 | Layer 1 | Epoch 9  |
|           540 |    45073.3984 | Layer 1 | Epoch 9  |
|           570 |    45106.5625 | Layer 1 | Epoch 10  |
|           600 |    45123.3867 | Layer 1 | Epoch 10  |
|           630 |    45037.6992 | Layer 1 | Epoch 11  |
|           660 |    45161.6016 | Layer 1 | Epoch 11  |
|           690 |    45055.1992 | Layer 1 | Epoch 12  |
|           720 |    44991.4453 | Layer 1 | Epoch 12  |
|           750 |    45064.1641 | Layer 1 | Epoch 13  |
|           780 |    45038.9688 | Layer 1 | Epoch 13  |
|           810 |    44951.7695 | Layer 1 | Epoch 14  |
|           840 |    44741.7305 | Layer 1 | Epoch 14  |
|           870 |    44895.3906 | Layer 1 | Epoch 15  |
|           900 |    44800.0859 | Layer 1 | Epoch 15  |
|           930 |    44862.7656 | Layer 1 | Epoch 16  |
|           960 |    44761.9023 | Layer 1 | Epoch 16  |
|           990 |    44738.0781 | Layer 1 | Epoch 17  |
|          1020 |    44587.6680 | Layer 1 | Epoch 17  |
