2017-11-21 22:00:10.201473: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 22:00:10.201494: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 22:00:10.201499: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 22:00:10.201503: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 22:00:10.201507: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45466.2617 | Layer 1 | Epoch 1  |
|            30 |    45420.5312 | Layer 1 | Epoch 1  |
|            60 |    45409.3867 | Layer 1 | Epoch 1  |
|            90 |    45408.4570 | Layer 1 | Epoch 2  |
|           120 |    45404.3867 | Layer 1 | Epoch 2  |
|           150 |    45400.7773 | Layer 1 | Epoch 3  |
|           180 |    45385.8945 | Layer 1 | Epoch 3  |
|           210 |    45389.6289 | Layer 1 | Epoch 4  |
|           240 |    45357.8320 | Layer 1 | Epoch 4  |
|           270 |    45378.9648 | Layer 1 | Epoch 5  |
|           300 |    45362.8867 | Layer 1 | Epoch 5  |
|           330 |    45321.3477 | Layer 1 | Epoch 6  |
|           360 |    45340.1328 | Layer 1 | Epoch 6  |
|           390 |    45327.3867 | Layer 1 | Epoch 7  |
|           420 |    45310.7070 | Layer 1 | Epoch 7  |
|           450 |    45284.0430 | Layer 1 | Epoch 8  |
|           480 |    45289.9805 | Layer 1 | Epoch 8  |
|           510 |    45307.5000 | Layer 1 | Epoch 9  |
|           540 |    45254.2539 | Layer 1 | Epoch 9  |
|           570 |    45208.4180 | Layer 1 | Epoch 10  |
|           600 |    45234.5703 | Layer 1 | Epoch 10  |
|           630 |    45253.8047 | Layer 1 | Epoch 11  |
|           660 |    45182.6562 | Layer 1 | Epoch 11  |
|           690 |    45178.7773 | Layer 1 | Epoch 12  |
|           720 |    45251.6172 | Layer 1 | Epoch 12  |
|           750 |    45111.9023 | Layer 1 | Epoch 13  |
|           780 |    45130.5742 | Layer 1 | Epoch 13  |
|           810 |    44988.7812 | Layer 1 | Epoch 14  |
