2017-11-21 07:37:46.917190: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 07:37:46.917209: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 07:37:46.917213: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 07:37:46.917217: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 07:37:46.917220: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45592.5703 | Layer 1 | Epoch 1  |
|            30 |    45400.7617 | Layer 1 | Epoch 1  |
|            60 |    45407.2070 | Layer 1 | Epoch 1  |
|            90 |    45386.5938 | Layer 1 | Epoch 2  |
|           120 |    45382.7930 | Layer 1 | Epoch 2  |
|           150 |    45354.2578 | Layer 1 | Epoch 3  |
|           180 |    45370.5312 | Layer 1 | Epoch 3  |
|           210 |    45350.8203 | Layer 1 | Epoch 4  |
|           240 |    45309.1445 | Layer 1 | Epoch 4  |
|           270 |    45297.0586 | Layer 1 | Epoch 5  |
|           300 |    45281.2891 | Layer 1 | Epoch 5  |
|           330 |    45251.4180 | Layer 1 | Epoch 6  |
|           360 |    45204.7773 | Layer 1 | Epoch 6  |
|           390 |    45040.1328 | Layer 1 | Epoch 7  |
|           420 |    45162.1797 | Layer 1 | Epoch 7  |
|           450 |    45240.2891 | Layer 1 | Epoch 8  |
|           480 |    45134.1133 | Layer 1 | Epoch 8  |
|           510 |    44954.2227 | Layer 1 | Epoch 9  |
|           540 |    44977.7422 | Layer 1 | Epoch 9  |
|           570 |    44918.5508 | Layer 1 | Epoch 10  |
|           600 |    44764.7930 | Layer 1 | Epoch 10  |
|           630 |    44914.1367 | Layer 1 | Epoch 11  |
|           660 |    44742.1680 | Layer 1 | Epoch 11  |
|           690 |    44832.2422 | Layer 1 | Epoch 12  |
|           720 |    44599.0352 | Layer 1 | Epoch 12  |
|           750 |    44743.4258 | Layer 1 | Epoch 13  |
|           780 |    44686.0742 | Layer 1 | Epoch 13  |
|           810 |    44366.6680 | Layer 1 | Epoch 14  |
|           840 |    44632.0312 | Layer 1 | Epoch 14  |
|           870 |    44445.1055 | Layer 1 | Epoch 15  |
|           900 |    44441.1641 | Layer 1 | Epoch 15  |
|           930 |    44291.6445 | Layer 1 | Epoch 16  |
|           960 |    44136.7734 | Layer 1 | Epoch 16  |
|           990 |    44366.0938 | Layer 1 | Epoch 17  |
|          1020 |    44712.4062 | Layer 1 | Epoch 17  |
|          1050 |    44382.7461 | Layer 1 | Epoch 18  |
|          1080 |    44202.0039 | Layer 1 | Epoch 18  |
|          1110 |    44179.6875 | Layer 1 | Epoch 19  |
|          1140 |    43941.4609 | Layer 1 | Epoch 19  |
|          1170 |    44398.7695 | Layer 1 | Epoch 20  |
|          1200 |    43982.3828 | Layer 1 | Epoch 20  |
|          1230 |    44018.0820 | Layer 1 | Epoch 21  |
|          1260 |    44411.8828 | Layer 1 | Epoch 21  |
|          1290 |    44171.1250 | Layer 1 | Epoch 22  |
|          1320 |    43570.5547 | Layer 1 | Epoch 22  |
|          1350 |    44282.2773 | Layer 1 | Epoch 23  |
|          1380 |    43955.6602 | Layer 1 | Epoch 23  |
|          1410 |    44226.1328 | Layer 1 | Epoch 24  |
|          1440 |    43788.8555 | Layer 1 | Epoch 24  |
|          1470 |    44312.8984 | Layer 1 | Epoch 25  |
|          1500 |    44330.3828 | Layer 1 | Epoch 25  |
|          1530 |    43919.9766 | Layer 1 | Epoch 26  |
|          1560 |    43515.2969 | Layer 1 | Epoch 26  |
|          1590 |    44200.3008 | Layer 1 | Epoch 27  |
|          1620 |    43462.9141 | Layer 1 | Epoch 27  |
