2017-11-20 21:05:24.734265: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 21:05:24.734294: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 21:05:24.734302: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 21:05:24.734308: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-20 21:05:24.734314: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45808.3086 | Layer 1 | Epoch 1  |
|            30 |    45384.2734 | Layer 1 | Epoch 1  |
|            60 |    45385.0234 | Layer 1 | Epoch 1  |
|            90 |    45375.0703 | Layer 1 | Epoch 2  |
|           120 |    45339.2812 | Layer 1 | Epoch 2  |
|           150 |    45342.8828 | Layer 1 | Epoch 3  |
|           180 |    45358.2227 | Layer 1 | Epoch 3  |
|           210 |    45256.9609 | Layer 1 | Epoch 4  |
|           240 |    45297.4844 | Layer 1 | Epoch 4  |
|           270 |    45161.2344 | Layer 1 | Epoch 5  |
|           300 |    45109.3516 | Layer 1 | Epoch 5  |
|           330 |    45158.9531 | Layer 1 | Epoch 6  |
|           360 |    45106.2266 | Layer 1 | Epoch 6  |
|           390 |    44770.6641 | Layer 1 | Epoch 7  |
|           420 |    44762.4609 | Layer 1 | Epoch 7  |
|           450 |    44759.0156 | Layer 1 | Epoch 8  |
|           480 |    44651.2188 | Layer 1 | Epoch 8  |
|           510 |    44603.1914 | Layer 1 | Epoch 9  |
|           540 |    44364.7578 | Layer 1 | Epoch 9  |
|           570 |    44706.0703 | Layer 1 | Epoch 10  |
|           600 |    44176.8789 | Layer 1 | Epoch 10  |
|           630 |    44679.7500 | Layer 1 | Epoch 11  |
|           660 |    44437.4805 | Layer 1 | Epoch 11  |
|           690 |    44385.6953 | Layer 1 | Epoch 12  |
|           720 |    44479.2773 | Layer 1 | Epoch 12  |
|           750 |    43945.3828 | Layer 1 | Epoch 13  |
|           780 |    43987.8984 | Layer 1 | Epoch 13  |
|           810 |    44268.2578 | Layer 1 | Epoch 14  |
|           840 |    44153.8047 | Layer 1 | Epoch 14  |
|           870 |    44140.5586 | Layer 1 | Epoch 15  |
|           900 |    43786.1328 | Layer 1 | Epoch 15  |
|           930 |    43787.4922 | Layer 1 | Epoch 16  |
|           960 |    43579.6484 | Layer 1 | Epoch 16  |
|           990 |    43857.2109 | Layer 1 | Epoch 17  |
|          1020 |    43784.1641 | Layer 1 | Epoch 17  |
|          1050 |    43980.8672 | Layer 1 | Epoch 18  |
|          1080 |    43046.8008 | Layer 1 | Epoch 18  |
|          1110 |    43126.5195 | Layer 1 | Epoch 19  |
|          1140 |    42707.5938 | Layer 1 | Epoch 19  |
|          1170 |    43722.8984 | Layer 1 | Epoch 20  |
|          1200 |    43576.9727 | Layer 1 | Epoch 20  |
|          1230 |    43542.4688 | Layer 1 | Epoch 21  |
|          1260 |    42594.7109 | Layer 1 | Epoch 21  |
|          1290 |    44066.4570 | Layer 1 | Epoch 22  |
|          1320 |    43509.8633 | Layer 1 | Epoch 22  |
|          1350 |    43441.6562 | Layer 1 | Epoch 23  |
|          1380 |    43967.5547 | Layer 1 | Epoch 23  |
|          1410 |    43813.0625 | Layer 1 | Epoch 24  |
|          1440 |    43310.9336 | Layer 1 | Epoch 24  |
|          1470 |    44013.2109 | Layer 1 | Epoch 25  |
|          1500 |    42167.2383 | Layer 1 | Epoch 25  |
|          1530 |    43581.6562 | Layer 1 | Epoch 26  |
|          1560 |    43159.1992 | Layer 1 | Epoch 26  |
|          1590 |    41882.7773 | Layer 1 | Epoch 27  |
|          1620 |    42929.4922 | Layer 1 | Epoch 27  |
|          1650 |    42648.6172 | Layer 1 | Epoch 28  |
|          1680 |    42508.7695 | Layer 1 | Epoch 28  |
|          1710 |    43443.1055 | Layer 1 | Epoch 29  |
|          1740 |    42550.2148 | Layer 1 | Epoch 29  |
|          1770 |    42861.5312 | Layer 1 | Epoch 30  |
|          1800 |    42636.0234 | Layer 1 | Epoch 30  |
|          1830 |    42739.0859 | Layer 1 | Epoch 31  |
|          1860 |    41993.1797 | Layer 1 | Epoch 31  |
|          1890 |    43244.0977 | Layer 1 | Epoch 31  |
|          1920 |    42628.0586 | Layer 1 | Epoch 32  |
|          1950 |    41968.3047 | Layer 1 | Epoch 32  |
|          1980 |    42847.0312 | Layer 1 | Epoch 33  |
|          2010 |    42145.7305 | Layer 1 | Epoch 33  |
|          2040 |    43169.0547 | Layer 1 | Epoch 34  |
|          2070 |    41273.6562 | Layer 1 | Epoch 34  |
|          2100 |    43354.5742 | Layer 1 | Epoch 35  |
|          2130 |    41828.6172 | Layer 1 | Epoch 35  |
|          2160 |    43121.2891 | Layer 1 | Epoch 36  |
|          2190 |    42358.7930 | Layer 1 | Epoch 36  |
|          2220 |    43409.6055 | Layer 1 | Epoch 37  |
|          2250 |    41457.1953 | Layer 1 | Epoch 37  |
|          2280 |    42542.5156 | Layer 1 | Epoch 38  |
|          2310 |    42802.8750 | Layer 1 | Epoch 38  |
|          2340 |    42387.5117 | Layer 1 | Epoch 39  |
|          2370 |    41722.1523 | Layer 1 | Epoch 39  |
|          2400 |    43049.7344 | Layer 1 | Epoch 40  |
|          2430 |    41948.7578 | Layer 1 | Epoch 40  |
|          2460 |    43021.2812 | Layer 1 | Epoch 41  |
|          2490 |    41504.1484 | Layer 1 | Epoch 41  |
|          2520 |    42764.1484 | Layer 1 | Epoch 42  |
|          2550 |    41038.4570 | Layer 1 | Epoch 42  |
|          2580 |    42096.8281 | Layer 1 | Epoch 43  |
|          2610 |    41961.2617 | Layer 1 | Epoch 43  |
|          2640 |    41768.5977 | Layer 1 | Epoch 44  |
|          2670 |    40929.1484 | Layer 1 | Epoch 44  |
|          2700 |    42492.6875 | Layer 1 | Epoch 45  |
|          2730 |    42136.7773 | Layer 1 | Epoch 45  |
|          2760 |    40761.3008 | Layer 1 | Epoch 46  |
|          2790 |    42425.3320 | Layer 1 | Epoch 46  |
|          2820 |    42104.6445 | Layer 1 | Epoch 47  |
|          2850 |    42251.4414 | Layer 1 | Epoch 47  |
|          2880 |    42895.9297 | Layer 1 | Epoch 48  |
|          2910 |    42739.5859 | Layer 1 | Epoch 48  |
|          2940 |    41267.0273 | Layer 1 | Epoch 49  |
|          2970 |    41164.3906 | Layer 1 | Epoch 49  |
|          3000 |    43224.5117 | Layer 1 | Epoch 50  |
|          3030 |    41166.1875 | Layer 1 | Epoch 50  |
|          3060 |    42174.0312 | Layer 1 | Epoch 51  |
|          3090 |    41891.1641 | Layer 1 | Epoch 51  |
|          3120 |    41164.5195 | Layer 1 | Epoch 52  |
|          3150 |    42284.8203 | Layer 1 | Epoch 52  |
|          3180 |    41702.0508 | Layer 1 | Epoch 53  |
|          3210 |    42406.4922 | Layer 1 | Epoch 53  |
|          3240 |    43729.7227 | Layer 1 | Epoch 54  |
|          3270 |    41997.7617 | Layer 1 | Epoch 54  |
|          3300 |    42939.3672 | Layer 1 | Epoch 55  |
|          3330 |    41826.9219 | Layer 1 | Epoch 55  |
|          3360 |    41105.1328 | Layer 1 | Epoch 56  |
|          3390 |    42624.2930 | Layer 1 | Epoch 56  |
|          3420 |    43141.6797 | Layer 1 | Epoch 57  |
|          3450 |    41552.7969 | Layer 1 | Epoch 57  |
|          3480 |    40840.3828 | Layer 1 | Epoch 58  |
|          3510 |    42314.6445 | Layer 1 | Epoch 58  |
|          3540 |    41336.5547 | Layer 1 | Epoch 59  |
|          3570 |    41422.1250 | Layer 1 | Epoch 59  |
|          3600 |    42340.0742 | Layer 1 | Epoch 60  |
|          3630 |    41449.1562 | Layer 1 | Epoch 60  |
|          3660 |    42239.4922 | Layer 1 | Epoch 61  |
|          3690 |    42705.0195 | Layer 1 | Epoch 61  |
|          3720 |    41467.1641 | Layer 1 | Epoch 61  |
|          3750 |    41321.5820 | Layer 1 | Epoch 62  |
|          3780 |    41406.1016 | Layer 1 | Epoch 62  |
|          3810 |    40814.7422 | Layer 1 | Epoch 63  |
|          3840 |    41348.7891 | Layer 1 | Epoch 63  |
|          3870 |    41272.9922 | Layer 1 | Epoch 64  |
|          3900 |    41518.9141 | Layer 1 | Epoch 64  |
|          3930 |    42507.7266 | Layer 1 | Epoch 65  |
|          3960 |    41300.0469 | Layer 1 | Epoch 65  |
|          3990 |    41065.8828 | Layer 1 | Epoch 66  |
|          4020 |    43011.6094 | Layer 1 | Epoch 66  |
|          4050 |    40865.0078 | Layer 1 | Epoch 67  |
|          4080 |    41657.9805 | Layer 1 | Epoch 67  |
|          4110 |    41119.1719 | Layer 1 | Epoch 68  |
|          4140 |    41930.4961 | Layer 1 | Epoch 68  |
|          4170 |    41811.4961 | Layer 1 | Epoch 69  |
|          4200 |    42080.4766 | Layer 1 | Epoch 69  |
|          4230 |    42260.9219 | Layer 1 | Epoch 70  |
|          4260 |    42077.2383 | Layer 1 | Epoch 70  |
|          4290 |    41453.9062 | Layer 1 | Epoch 71  |
|          4320 |    41139.7500 | Layer 1 | Epoch 71  |
|          4350 |    41761.5312 | Layer 1 | Epoch 72  |
|          4380 |    41739.5625 | Layer 1 | Epoch 72  |
|          4410 |    41569.1758 | Layer 1 | Epoch 73  |
|          4440 |    42205.0586 | Layer 1 | Epoch 73  |
|          4470 |    42522.6797 | Layer 1 | Epoch 74  |
|          4500 |    41069.6680 | Layer 1 | Epoch 74  |
|          4530 |    40856.3086 | Layer 1 | Epoch 75  |
|          4560 |    41616.9727 | Layer 1 | Epoch 75  |
|          4590 |    41866.7109 | Layer 1 | Epoch 76  |
|          4620 |    40585.3984 | Layer 1 | Epoch 76  |
|          4650 |    41661.1445 | Layer 1 | Epoch 77  |
|          4680 |    41667.0703 | Layer 1 | Epoch 77  |
|          4710 |    41261.7617 | Layer 1 | Epoch 78  |
|          4740 |    42102.6953 | Layer 1 | Epoch 78  |
|          4770 |    41858.0547 | Layer 1 | Epoch 79  |
|          4800 |    41383.6523 | Layer 1 | Epoch 79  |
|          4830 |    42003.1328 | Layer 1 | Epoch 80  |
|          4860 |    40698.3008 | Layer 1 | Epoch 80  |
|          4890 |    41336.3047 | Layer 1 | Epoch 81  |
|          4920 |    41222.7266 | Layer 1 | Epoch 81  |
|          4950 |    40359.9453 | Layer 1 | Epoch 82  |
|          4980 |    41345.3008 | Layer 1 | Epoch 82  |
|          5010 |    41217.8945 | Layer 1 | Epoch 83  |
|          5040 |    41917.3047 | Layer 1 | Epoch 83  |
|          5070 |    41660.8984 | Layer 1 | Epoch 84  |
|          5100 |    42624.4727 | Layer 1 | Epoch 84  |
|          5130 |    41281.9961 | Layer 1 | Epoch 85  |
|          5160 |    41601.0781 | Layer 1 | Epoch 85  |
|          5190 |    42071.8242 | Layer 1 | Epoch 86  |
|          5220 |    40153.7422 | Layer 1 | Epoch 86  |
|          5250 |    41004.2031 | Layer 1 | Epoch 87  |
|          5280 |    41920.5820 | Layer 1 | Epoch 87  |
|          5310 |    41047.0000 | Layer 1 | Epoch 88  |
|          5340 |    41539.6797 | Layer 1 | Epoch 88  |
|          5370 |    41899.4453 | Layer 1 | Epoch 89  |
|          5400 |    41421.6680 | Layer 1 | Epoch 89  |
|          5430 |    40828.3789 | Layer 1 | Epoch 90  |
|          5460 |    42244.8906 | Layer 1 | Epoch 90  |
|          5490 |    41408.3828 | Layer 1 | Epoch 91  |
|          5520 |    41136.3906 | Layer 1 | Epoch 91  |
|          5550 |    41419.7812 | Layer 1 | Epoch 91  |
|          5580 |    42322.4922 | Layer 1 | Epoch 92  |
|          5610 |    41958.4141 | Layer 1 | Epoch 92  |
|          5640 |    42721.9453 | Layer 1 | Epoch 93  |
|          5670 |    41345.2578 | Layer 1 | Epoch 93  |
|          5700 |    40231.6484 | Layer 1 | Epoch 94  |
|          5730 |    41125.5547 | Layer 1 | Epoch 94  |
|          5760 |    42324.4609 | Layer 1 | Epoch 95  |
|          5790 |    41599.7812 | Layer 1 | Epoch 95  |
|          5820 |    40799.7852 | Layer 1 | Epoch 96  |
|          5850 |    41498.0117 | Layer 1 | Epoch 96  |
|          5880 |    41836.0742 | Layer 1 | Epoch 97  |
|          5910 |    38887.7266 | Layer 1 | Epoch 97  |
|          5940 |    41782.2266 | Layer 1 | Epoch 98  |
|          5970 |    41411.1641 | Layer 1 | Epoch 98  |
|          6000 |    41451.6797 | Layer 1 | Epoch 99  |
|          6030 |    41790.7930 | Layer 1 | Epoch 99  |
|          6060 |    40686.2422 | Layer 1 | Epoch 100  |
|          6090 |    40850.5000 | Layer 1 | Epoch 100  |
|          6120 |    41983.3828 | Layer 1 | Epoch 101  |
|          6150 |    38826.5703 | Layer 1 | Epoch 101  |
|          6180 |    40176.0195 | Layer 1 | Epoch 102  |
|          6210 |    41111.2539 | Layer 1 | Epoch 102  |
|          6240 |    40339.6094 | Layer 1 | Epoch 103  |
|          6270 |    41297.3594 | Layer 1 | Epoch 103  |
|          6300 |    41978.2070 | Layer 1 | Epoch 104  |
|          6330 |    39563.7031 | Layer 1 | Epoch 104  |
|          6360 |    40029.1328 | Layer 1 | Epoch 105  |
|          6390 |    41251.3242 | Layer 1 | Epoch 105  |
|          6420 |    40185.8516 | Layer 1 | Epoch 106  |
|          6450 |    41840.9102 | Layer 1 | Epoch 106  |
|          6480 |    41091.9648 | Layer 1 | Epoch 107  |
|          6510 |    39277.0156 | Layer 1 | Epoch 107  |
|          6540 |    42281.5195 | Layer 1 | Epoch 108  |
|          6570 |    41198.9531 | Layer 1 | Epoch 108  |
|          6600 |    40117.0078 | Layer 1 | Epoch 109  |
|          6630 |    41108.3047 | Layer 1 | Epoch 109  |
|          6660 |    40673.1367 | Layer 1 | Epoch 110  |
|          6690 |    40803.1992 | Layer 1 | Epoch 110  |
|          6720 |    41129.6250 | Layer 1 | Epoch 111  |
|          6750 |    40893.0703 | Layer 1 | Epoch 111  |
|          6780 |    40330.5820 | Layer 1 | Epoch 112  |
|          6810 |    40115.9062 | Layer 1 | Epoch 112  |
|          6840 |    40503.4297 | Layer 1 | Epoch 113  |
|          6870 |    39874.9453 | Layer 1 | Epoch 113  |
|          6900 |    41876.9492 | Layer 1 | Epoch 114  |
|          6930 |    40499.2266 | Layer 1 | Epoch 114  |
|          6960 |    41195.8672 | Layer 1 | Epoch 115  |
|          6990 |    41961.9297 | Layer 1 | Epoch 115  |
|          7020 |    40269.3555 | Layer 1 | Epoch 116  |
|          7050 |    40610.3828 | Layer 1 | Epoch 116  |
|          7080 |    41270.2266 | Layer 1 | Epoch 117  |
|          7110 |    40413.0547 | Layer 1 | Epoch 117  |
|          7140 |    42207.0508 | Layer 1 | Epoch 118  |
|          7170 |    39952.3945 | Layer 1 | Epoch 118  |
|          7200 |    41465.0898 | Layer 1 | Epoch 119  |
|          7230 |    41103.5391 | Layer 1 | Epoch 119  |
|          7260 |    41604.2266 | Layer 1 | Epoch 120  |
