2017-11-21 15:07:43.658387: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 15:07:43.658408: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 15:07:43.658412: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 15:07:43.658415: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 15:07:43.658418: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45504.6250 | Layer 1 | Epoch 1  |
|            30 |    45411.8945 | Layer 1 | Epoch 1  |
|            60 |    45413.3984 | Layer 1 | Epoch 1  |
|            90 |    45394.5430 | Layer 1 | Epoch 2  |
|           120 |    45405.5234 | Layer 1 | Epoch 2  |
|           150 |    45397.7852 | Layer 1 | Epoch 3  |
|           180 |    45387.2578 | Layer 1 | Epoch 3  |
|           210 |    45373.3047 | Layer 1 | Epoch 4  |
|           240 |    45350.4375 | Layer 1 | Epoch 4  |
|           270 |    45337.8984 | Layer 1 | Epoch 5  |
|           300 |    45319.1445 | Layer 1 | Epoch 5  |
|           330 |    45327.8711 | Layer 1 | Epoch 6  |
|           360 |    45294.6367 | Layer 1 | Epoch 6  |
|           390 |    45314.9141 | Layer 1 | Epoch 7  |
|           420 |    45267.2930 | Layer 1 | Epoch 7  |
|           450 |    45255.5234 | Layer 1 | Epoch 8  |
|           480 |    45262.5000 | Layer 1 | Epoch 8  |
|           510 |    45256.4102 | Layer 1 | Epoch 9  |
|           540 |    45207.7109 | Layer 1 | Epoch 9  |
|           570 |    45114.0078 | Layer 1 | Epoch 10  |
|           600 |    45114.7109 | Layer 1 | Epoch 10  |
|           630 |    45129.0195 | Layer 1 | Epoch 11  |
|           660 |    45051.5391 | Layer 1 | Epoch 11  |
|           690 |    44966.7617 | Layer 1 | Epoch 12  |
|           720 |    45120.7617 | Layer 1 | Epoch 12  |
|           750 |    44979.5391 | Layer 1 | Epoch 13  |
|           780 |    45083.4297 | Layer 1 | Epoch 13  |
|           810 |    44791.2383 | Layer 1 | Epoch 14  |
|           840 |    44817.1875 | Layer 1 | Epoch 14  |
|           870 |    44701.2383 | Layer 1 | Epoch 15  |
|           900 |    44844.4688 | Layer 1 | Epoch 15  |
|           930 |    44884.3828 | Layer 1 | Epoch 16  |
|           960 |    44849.4922 | Layer 1 | Epoch 16  |
|           990 |    44564.1562 | Layer 1 | Epoch 17  |
|          1020 |    44697.0859 | Layer 1 | Epoch 17  |
|          1050 |    44777.8594 | Layer 1 | Epoch 18  |
|          1080 |    44915.1562 | Layer 1 | Epoch 18  |
|          1110 |    44673.9883 | Layer 1 | Epoch 19  |
|          1140 |    44730.5703 | Layer 1 | Epoch 19  |
|          1170 |    44676.6523 | Layer 1 | Epoch 20  |
|          1200 |    44614.8984 | Layer 1 | Epoch 20  |
|          1230 |    44956.7578 | Layer 1 | Epoch 21  |
|          1260 |    44653.7500 | Layer 1 | Epoch 21  |
|          1290 |    44230.3008 | Layer 1 | Epoch 22  |
|          1320 |    44484.5078 | Layer 1 | Epoch 22  |
|          1350 |    44372.3242 | Layer 1 | Epoch 23  |
|          1380 |    43957.9883 | Layer 1 | Epoch 23  |
|          1410 |    44253.4609 | Layer 1 | Epoch 24  |
|          1440 |    44517.0078 | Layer 1 | Epoch 24  |
|          1470 |    44210.1172 | Layer 1 | Epoch 25  |
|          1500 |    44161.8047 | Layer 1 | Epoch 25  |
|          1530 |    44270.3672 | Layer 1 | Epoch 26  |
|          1560 |    44271.7734 | Layer 1 | Epoch 26  |
|          1590 |    44024.3242 | Layer 1 | Epoch 27  |
|          1620 |    44389.8398 | Layer 1 | Epoch 27  |
