2017-11-21 22:33:45.533750: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 22:33:45.533771: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 22:33:45.533777: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 22:33:45.533781: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 22:33:45.533785: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45465.7969 | Layer 1 | Epoch 1  |
|            30 |    45421.0703 | Layer 1 | Epoch 1  |
|            60 |    45413.6875 | Layer 1 | Epoch 1  |
|            90 |    45411.6055 | Layer 1 | Epoch 2  |
|           120 |    45410.6133 | Layer 1 | Epoch 2  |
|           150 |    45402.0859 | Layer 1 | Epoch 3  |
|           180 |    45394.8750 | Layer 1 | Epoch 3  |
|           210 |    45387.9609 | Layer 1 | Epoch 4  |
|           240 |    45394.9414 | Layer 1 | Epoch 4  |
|           270 |    45374.3672 | Layer 1 | Epoch 5  |
|           300 |    45368.7109 | Layer 1 | Epoch 5  |
|           330 |    45385.1445 | Layer 1 | Epoch 6  |
|           360 |    45309.5547 | Layer 1 | Epoch 6  |
|           390 |    45339.2695 | Layer 1 | Epoch 7  |
|           420 |    45365.5430 | Layer 1 | Epoch 7  |
|           450 |    45308.3984 | Layer 1 | Epoch 8  |
|           480 |    45278.7109 | Layer 1 | Epoch 8  |
|           510 |    45248.4453 | Layer 1 | Epoch 9  |
|           540 |    45268.2383 | Layer 1 | Epoch 9  |
|           570 |    45212.5039 | Layer 1 | Epoch 10  |
|           600 |    45208.0820 | Layer 1 | Epoch 10  |
|           630 |    45103.7891 | Layer 1 | Epoch 11  |
|           660 |    45141.0391 | Layer 1 | Epoch 11  |
|           690 |    45237.8320 | Layer 1 | Epoch 12  |
