2017-11-21 03:26:08.464163: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 03:26:08.464184: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 03:26:08.464188: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 03:26:08.464192: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 03:26:08.464195: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45597.5742 | Layer 1 | Epoch 1  |
|            30 |    45404.3945 | Layer 1 | Epoch 1  |
|            60 |    45407.4062 | Layer 1 | Epoch 1  |
|            90 |    45389.0391 | Layer 1 | Epoch 2  |
|           120 |    45371.6562 | Layer 1 | Epoch 2  |
|           150 |    45373.6797 | Layer 1 | Epoch 3  |
|           180 |    45372.3047 | Layer 1 | Epoch 3  |
|           210 |    45353.0938 | Layer 1 | Epoch 4  |
|           240 |    45289.0234 | Layer 1 | Epoch 4  |
|           270 |    45306.5938 | Layer 1 | Epoch 5  |
|           300 |    45294.7305 | Layer 1 | Epoch 5  |
|           330 |    45296.1133 | Layer 1 | Epoch 6  |
|           360 |    45242.0664 | Layer 1 | Epoch 6  |
|           390 |    45220.7930 | Layer 1 | Epoch 7  |
|           420 |    45115.5312 | Layer 1 | Epoch 7  |
|           450 |    45097.1797 | Layer 1 | Epoch 8  |
|           480 |    44948.8828 | Layer 1 | Epoch 8  |
|           510 |    45061.9453 | Layer 1 | Epoch 9  |
|           540 |    45008.2383 | Layer 1 | Epoch 9  |
|           570 |    45151.8008 | Layer 1 | Epoch 10  |
|           600 |    44856.9219 | Layer 1 | Epoch 10  |
|           630 |    44589.6562 | Layer 1 | Epoch 11  |
|           660 |    44969.4727 | Layer 1 | Epoch 11  |
|           690 |    44983.6133 | Layer 1 | Epoch 12  |
|           720 |    44492.7617 | Layer 1 | Epoch 12  |
|           750 |    44767.5742 | Layer 1 | Epoch 13  |
|           780 |    44533.1992 | Layer 1 | Epoch 13  |
|           810 |    44722.6602 | Layer 1 | Epoch 14  |
|           840 |    44615.2891 | Layer 1 | Epoch 14  |
|           870 |    44317.6133 | Layer 1 | Epoch 15  |
|           900 |    44601.0703 | Layer 1 | Epoch 15  |
|           930 |    44565.7891 | Layer 1 | Epoch 16  |
|           960 |    44585.8828 | Layer 1 | Epoch 16  |
|           990 |    44410.1797 | Layer 1 | Epoch 17  |
