2017-11-21 20:45:03.406972: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 20:45:03.406993: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 20:45:03.406999: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 20:45:03.407003: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 20:45:03.407006: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45484.1562 | Layer 1 | Epoch 1  |
|            30 |    45419.7070 | Layer 1 | Epoch 1  |
|            60 |    45413.8477 | Layer 1 | Epoch 1  |
|            90 |    45410.7656 | Layer 1 | Epoch 2  |
|           120 |    45405.1055 | Layer 1 | Epoch 2  |
|           150 |    45403.2383 | Layer 1 | Epoch 3  |
|           180 |    45388.6758 | Layer 1 | Epoch 3  |
|           210 |    45391.2734 | Layer 1 | Epoch 4  |
|           240 |    45378.9375 | Layer 1 | Epoch 4  |
|           270 |    45370.6797 | Layer 1 | Epoch 5  |
|           300 |    45381.9531 | Layer 1 | Epoch 5  |
|           330 |    45372.1797 | Layer 1 | Epoch 6  |
|           360 |    45373.6016 | Layer 1 | Epoch 6  |
|           390 |    45313.9180 | Layer 1 | Epoch 7  |
|           420 |    45332.0820 | Layer 1 | Epoch 7  |
|           450 |    45359.2305 | Layer 1 | Epoch 8  |
|           480 |    45288.5234 | Layer 1 | Epoch 8  |
|           510 |    45323.0859 | Layer 1 | Epoch 9  |
|           540 |    45250.6367 | Layer 1 | Epoch 9  |
|           570 |    45286.0508 | Layer 1 | Epoch 10  |
|           600 |    45193.9609 | Layer 1 | Epoch 10  |
|           630 |    45239.0859 | Layer 1 | Epoch 11  |
|           660 |    45248.5078 | Layer 1 | Epoch 11  |
|           690 |    45248.7383 | Layer 1 | Epoch 12  |
|           720 |    45245.8516 | Layer 1 | Epoch 12  |
|           750 |    45199.3203 | Layer 1 | Epoch 13  |
|           780 |    45185.8320 | Layer 1 | Epoch 13  |
|           810 |    45150.6875 | Layer 1 | Epoch 14  |
|           840 |    45053.5742 | Layer 1 | Epoch 14  |
|           870 |    45108.6367 | Layer 1 | Epoch 15  |
|           900 |    45089.6406 | Layer 1 | Epoch 15  |
|           930 |    45085.6016 | Layer 1 | Epoch 16  |
|           960 |    45210.2812 | Layer 1 | Epoch 16  |
|           990 |    45069.7852 | Layer 1 | Epoch 17  |
|          1020 |    45017.8242 | Layer 1 | Epoch 17  |
|          1050 |    44950.9141 | Layer 1 | Epoch 18  |
|          1080 |    45024.9062 | Layer 1 | Epoch 18  |
|          1110 |    44861.4336 | Layer 1 | Epoch 19  |
|          1140 |    44958.8242 | Layer 1 | Epoch 19  |
|          1170 |    44947.8516 | Layer 1 | Epoch 20  |
|          1200 |    45004.0117 | Layer 1 | Epoch 20  |
|          1230 |    44904.4883 | Layer 1 | Epoch 21  |
|          1260 |    45034.8984 | Layer 1 | Epoch 21  |
|          1290 |    44794.8633 | Layer 1 | Epoch 22  |
|          1320 |    44660.7305 | Layer 1 | Epoch 22  |
|          1350 |    44931.2109 | Layer 1 | Epoch 23  |
|          1380 |    44945.6016 | Layer 1 | Epoch 23  |
|          1410 |    44943.1680 | Layer 1 | Epoch 24  |
|          1440 |    44916.2773 | Layer 1 | Epoch 24  |
|          1470 |    44860.8477 | Layer 1 | Epoch 25  |
|          1500 |    45154.7891 | Layer 1 | Epoch 25  |
|          1530 |    44899.1953 | Layer 1 | Epoch 26  |
|          1560 |    44472.4023 | Layer 1 | Epoch 26  |
|          1590 |    44695.4922 | Layer 1 | Epoch 27  |
|          1620 |    44392.3750 | Layer 1 | Epoch 27  |
|          1650 |    44906.6172 | Layer 1 | Epoch 28  |
|          1680 |    44627.1133 | Layer 1 | Epoch 28  |
|          1710 |    44718.0234 | Layer 1 | Epoch 29  |
|          1740 |    44856.9102 | Layer 1 | Epoch 29  |
|          1770 |    44832.6406 | Layer 1 | Epoch 30  |
|          1800 |    44581.6641 | Layer 1 | Epoch 30  |
|          1830 |    44717.6523 | Layer 1 | Epoch 31  |
|          1860 |    44469.9648 | Layer 1 | Epoch 31  |
|          1890 |    44375.5156 | Layer 1 | Epoch 31  |
|          1920 |    44710.8516 | Layer 1 | Epoch 32  |
|          1950 |    44707.0859 | Layer 1 | Epoch 32  |
|          1980 |    44844.2188 | Layer 1 | Epoch 33  |
|          2010 |    44439.3242 | Layer 1 | Epoch 33  |
|          2040 |    44407.2344 | Layer 1 | Epoch 34  |
|          2070 |    44503.9727 | Layer 1 | Epoch 34  |
|          2100 |    44316.7969 | Layer 1 | Epoch 35  |
|          2130 |    44593.7422 | Layer 1 | Epoch 35  |
|          2160 |    44641.4688 | Layer 1 | Epoch 36  |
|          2190 |    44783.9258 | Layer 1 | Epoch 36  |
|          2220 |    44411.2266 | Layer 1 | Epoch 37  |
|          2250 |    44236.1562 | Layer 1 | Epoch 37  |
|          2280 |    44458.7188 | Layer 1 | Epoch 38  |
|          2310 |    44313.6211 | Layer 1 | Epoch 38  |
|          2340 |    44649.9141 | Layer 1 | Epoch 39  |
|          2370 |    44551.7266 | Layer 1 | Epoch 39  |
|          2400 |    44553.4492 | Layer 1 | Epoch 40  |
|          2430 |    44401.7422 | Layer 1 | Epoch 40  |
|          2460 |    44213.1797 | Layer 1 | Epoch 41  |
|          2490 |    44302.9805 | Layer 1 | Epoch 41  |
|          2520 |    44521.8906 | Layer 1 | Epoch 42  |
|          2550 |    44243.2109 | Layer 1 | Epoch 42  |
|          2580 |    44574.9883 | Layer 1 | Epoch 43  |
|          2610 |    43980.4375 | Layer 1 | Epoch 43  |
|          2640 |    43983.1172 | Layer 1 | Epoch 44  |
|          2670 |    44014.5977 | Layer 1 | Epoch 44  |
|          2700 |    44313.7344 | Layer 1 | Epoch 45  |
|          2730 |    44254.9883 | Layer 1 | Epoch 45  |
|          2760 |    44377.6328 | Layer 1 | Epoch 46  |
|          2790 |    44246.5117 | Layer 1 | Epoch 46  |
|          2820 |    44277.5234 | Layer 1 | Epoch 47  |
|          2850 |    44486.9453 | Layer 1 | Epoch 47  |
|          2880 |    44201.3125 | Layer 1 | Epoch 48  |
|          2910 |    44499.2891 | Layer 1 | Epoch 48  |
|          2940 |    44120.4219 | Layer 1 | Epoch 49  |
|          2970 |    43996.4609 | Layer 1 | Epoch 49  |
|          3000 |    43756.6875 | Layer 1 | Epoch 50  |
|          3030 |    44493.0352 | Layer 1 | Epoch 50  |
|          3060 |    44241.2930 | Layer 1 | Epoch 51  |
|          3090 |    44242.1836 | Layer 1 | Epoch 51  |
|          3120 |    44320.3867 | Layer 1 | Epoch 52  |
|          3150 |    44013.9766 | Layer 1 | Epoch 52  |
|          3180 |    44371.6406 | Layer 1 | Epoch 53  |
|          3210 |    43934.4297 | Layer 1 | Epoch 53  |
|          3240 |    44124.7617 | Layer 1 | Epoch 54  |
|          3270 |    44073.1484 | Layer 1 | Epoch 54  |
|          3300 |    44310.4648 | Layer 1 | Epoch 55  |
|          3330 |    44280.6797 | Layer 1 | Epoch 55  |
|          3360 |    43742.9375 | Layer 1 | Epoch 56  |
|          3390 |    44404.7617 | Layer 1 | Epoch 56  |
|          3420 |    44242.5195 | Layer 1 | Epoch 57  |
|          3450 |    44199.3789 | Layer 1 | Epoch 57  |
|          3480 |    43977.2148 | Layer 1 | Epoch 58  |
|          3510 |    43982.3320 | Layer 1 | Epoch 58  |
|          3540 |    44570.2227 | Layer 1 | Epoch 59  |
|          3570 |    44168.2070 | Layer 1 | Epoch 59  |
|          3600 |    43982.1914 | Layer 1 | Epoch 60  |
|          3630 |    43852.3867 | Layer 1 | Epoch 60  |
|          3660 |    43980.0938 | Layer 1 | Epoch 61  |
|          3690 |    43966.9766 | Layer 1 | Epoch 61  |
|          3720 |    43783.2109 | Layer 1 | Epoch 61  |
|          3750 |    43400.0312 | Layer 1 | Epoch 62  |
|          3780 |    43501.1328 | Layer 1 | Epoch 62  |
|          3810 |    44155.4609 | Layer 1 | Epoch 63  |
|          3840 |    44286.8281 | Layer 1 | Epoch 63  |
|          3870 |    44028.6836 | Layer 1 | Epoch 64  |
|          3900 |    43826.7070 | Layer 1 | Epoch 64  |
|          3930 |    44093.4141 | Layer 1 | Epoch 65  |
|          3960 |    43737.9453 | Layer 1 | Epoch 65  |
|          3990 |    43502.9375 | Layer 1 | Epoch 66  |
|          4020 |    44071.8516 | Layer 1 | Epoch 66  |
|          4050 |    43594.5547 | Layer 1 | Epoch 67  |
|          4080 |    44057.2812 | Layer 1 | Epoch 67  |
|          4110 |    43619.8203 | Layer 1 | Epoch 68  |
|          4140 |    43981.7578 | Layer 1 | Epoch 68  |
|          4170 |    44052.1211 | Layer 1 | Epoch 69  |
