2017-11-18 14:10:46.370058: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-18 14:10:46.370077: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-18 14:10:46.370081: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-18 14:10:46.370084: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-18 14:10:46.370087: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    46120.1797 | Layer 1 | Epoch 1  |
|            30 |    45350.8672 | Layer 1 | Epoch 1  |
|            60 |    45333.6641 | Layer 1 | Epoch 1  |
|            90 |    45324.3828 | Layer 1 | Epoch 2  |
|           120 |    45277.4922 | Layer 1 | Epoch 2  |
|           150 |    45295.5820 | Layer 1 | Epoch 3  |
|           180 |    45189.1055 | Layer 1 | Epoch 3  |
|           210 |    45228.0664 | Layer 1 | Epoch 4  |
|           240 |    45175.1797 | Layer 1 | Epoch 4  |
|           270 |    44917.3672 | Layer 1 | Epoch 5  |
|           300 |    44933.3047 | Layer 1 | Epoch 5  |
|           330 |    44694.1133 | Layer 1 | Epoch 6  |
|           360 |    44961.3086 | Layer 1 | Epoch 6  |
|           390 |    44514.5078 | Layer 1 | Epoch 7  |
|           420 |    45000.3945 | Layer 1 | Epoch 7  |
|           450 |    44167.2266 | Layer 1 | Epoch 8  |
|           480 |    44560.2109 | Layer 1 | Epoch 8  |
|           510 |    43908.0625 | Layer 1 | Epoch 9  |
|           540 |    44330.8672 | Layer 1 | Epoch 9  |
|           570 |    44188.2461 | Layer 1 | Epoch 10  |
|           600 |    43753.9141 | Layer 1 | Epoch 10  |
|           630 |    43423.7695 | Layer 1 | Epoch 11  |
|           660 |    43482.9531 | Layer 1 | Epoch 11  |
|           690 |    44440.0703 | Layer 1 | Epoch 12  |
