2017-11-21 19:58:26.009773: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 19:58:26.009791: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 19:58:26.009796: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 19:58:26.009799: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-11-21 19:58:26.009802: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |    45494.8203 | Layer 1 | Epoch 1  |
|            30 |    45415.1250 | Layer 1 | Epoch 1  |
|            60 |    45416.5039 | Layer 1 | Epoch 1  |
|            90 |    45410.8711 | Layer 1 | Epoch 2  |
|           120 |    45402.9023 | Layer 1 | Epoch 2  |
|           150 |    45397.7812 | Layer 1 | Epoch 3  |
|           180 |    45376.5078 | Layer 1 | Epoch 3  |
|           210 |    45378.4922 | Layer 1 | Epoch 4  |
|           240 |    45390.1367 | Layer 1 | Epoch 4  |
|           270 |    45351.5391 | Layer 1 | Epoch 5  |
|           300 |    45323.0586 | Layer 1 | Epoch 5  |
|           330 |    45317.3672 | Layer 1 | Epoch 6  |
|           360 |    45331.5742 | Layer 1 | Epoch 6  |
|           390 |    45247.7617 | Layer 1 | Epoch 7  |
|           420 |    45249.0273 | Layer 1 | Epoch 7  |
|           450 |    45214.2109 | Layer 1 | Epoch 8  |
|           480 |    45287.4375 | Layer 1 | Epoch 8  |
|           510 |    45194.2930 | Layer 1 | Epoch 9  |
|           540 |    45190.9453 | Layer 1 | Epoch 9  |
|           570 |    45184.3281 | Layer 1 | Epoch 10  |
|           600 |    45177.9180 | Layer 1 | Epoch 10  |
|           630 |    45125.9805 | Layer 1 | Epoch 11  |
|           660 |    45078.1484 | Layer 1 | Epoch 11  |
|           690 |    45039.9805 | Layer 1 | Epoch 12  |
